ParkID,Name,FacilityType,FacilityCount,FacilityURL
2,Carnarvon Park,Softball,2,
14,Coopers' Park,Basketball Courts,1,
18,Devonian Harbour Park,Dogs Off-Leash Areas,1,http://vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
21,Harbour Green Park,Restaurants,1,http://vancouver.ca/parks-recreation-culture/restaurants-and-snack-bars.aspx
28,CRAB Park at Portside,Dogs Off-Leash Areas,1,http://vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
37,Chaldecott Park,Baseball Diamonds,2,
37,Chaldecott Park,Playgrounds,1,http://vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
39,Memorial West Park,Baseball Diamonds,2,
39,Memorial West Park,Tennis Courts,6,
43,Charleson Park,Soccer Fields,1,
43,Charleson Park,Tennis Courts,5,
44,Granville Park,Playgrounds,1,http://vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
45,Granville Loop Park,Tennis Courts,2,
45,Granville Loop Park,Playgrounds,1,http://vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
47,Sutcliffe Park,Tennis Courts,2,
51,Garden Park,Basketball Courts,1,
56,Oxford Park,Playgrounds,1,http://vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
65,Adanac Park,Field Houses,1,
70,Clinton Park,Playgrounds,1,http://vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
70,Clinton Park,Soccer Fields,3,
73,Hastings Community Park,Field Houses,1,
73,Hastings Community Park,Tennis Courts,2,
75,New Brighton Park,Soccer Fields,1,
77,Sunrise Park,Dogs Off-Leash Areas,1,http://vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
80,Cedar Cottage Park,Basketball Courts,2,
81,Clark Park,Soccer Fields,1,
81,Clark Park,Basketball Courts,1,
84,Grays Park,Basketball Courts,1,
85,John Hendry (Trout Lake) Park,Tennis Courts,3,
85,John Hendry (Trout Lake) Park,Softball,2,
91,Elm Park,Tennis Courts,2,
93,Kerrisdale Centennial Park,Swimming Pools,1,http://vancouver.ca/parks-recreation-culture/swimming-pools.aspx
93,Kerrisdale Centennial Park,Playgrounds,1,http://vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
96,Maple Grove Park,Field Houses,1,
103,Killarney Park,Dogs Off-Leash Areas,1,http://vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
105,Sparwood Park,Soccer Fields,1,
106,Almond Park,Tennis Courts,2,
108,Connaught Park,Soccer Fields,1,
108,Connaught Park,Softball,4,
112,Kitsilano Beach Park,Restaurants,1,http://vancouver.ca/parks-recreation-culture/restaurants-and-snack-bars.aspx
114,McBride Park,Tennis Courts,4,
119,Tatlow Park,Tennis Courts,3,
127,Riverview Park,Playgrounds,1,http://vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
130,William Mackie Park,Basketball Courts,1,
136,Guelph Park,Tennis Courts,2,
137,Jonathan Rogers Park,Softball,1,
145,Langara Golf Course,Playgrounds,1,http://vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
146,Montgomery Park,Field Houses,1,
148,Beaconsfield Park,Playgrounds,1,http://vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
